# Cluster grouping | Format: coord1 coord2 coord3 | cluster_id

WSCC is 220598

# Cluster 0
Centroid: 40.842, 58.9628, 40.1751, 
19, 15, 39, 
20, 16, 6, 
31, 17, 40, 
35, 18, 6, 
64, 19, 3, 
67, 19, 14, 
58, 20, 15, 
37, 20, 13, 
35, 21, 35, 
20, 21, 66, 
52, 23, 29, 
35, 24, 35, 
46, 25, 5, 
54, 28, 14, 
45, 28, 32, 
35, 28, 61, 
40, 29, 31, 
60, 30, 4, 
53, 33, 4, 
49, 33, 14, 
42, 34, 17, 
36, 37, 26, 
65, 38, 35, 
48, 39, 36, 
31, 39, 61, 
49, 39, 28, 
50, 40, 55, 
27, 40, 47, 
29, 40, 42, 
31, 40, 42, 
49, 42, 52, 
33, 42, 60, 
31, 43, 54, 
59, 43, 60, 
50, 43, 45, 
47, 43, 41, 
51, 44, 50, 
69, 44, 46, 
27, 46, 51, 
53, 46, 46, 
70, 46, 56, 
19, 46, 55, 
67, 47, 52, 
54, 47, 59, 
63, 48, 51, 
18, 48, 59, 
43, 48, 50, 
68, 48, 48, 
19, 48, 59, 
32, 48, 47, 
70, 49, 55, 
47, 49, 42, 
60, 50, 49, 
60, 50, 56, 
59, 54, 47, 
26, 54, 54, 
45, 54, 53, 
40, 54, 48, 
23, 54, 52, 
49, 54, 42, 
57, 54, 51, 
38, 54, 55, 
67, 54, 41, 
46, 54, 44, 
21, 54, 57, 
48, 54, 46, 
55, 57, 58, 
22, 57, 55, 
34, 58, 60, 
50, 58, 46, 
68, 59, 55, 
18, 59, 41, 
48, 60, 49, 
40, 60, 40, 
32, 60, 42, 
24, 60, 52, 
47, 60, 47, 
27, 60, 50, 
48, 61, 42, 
20, 61, 49, 
23, 62, 41, 
49, 62, 48, 
67, 62, 59, 
26, 62, 55, 
49, 62, 56, 
21, 62, 42, 
66, 63, 50, 
54, 63, 46, 
68, 63, 43, 
66, 63, 48, 
65, 63, 52, 
19, 63, 54, 
38, 64, 42, 
19, 64, 46, 
18, 65, 48, 
19, 65, 50, 
63, 65, 43, 
49, 65, 59, 
51, 67, 43, 
50, 67, 57, 
27, 67, 56, 
38, 67, 40, 
40, 69, 58, 
23, 70, 29, 
43, 71, 35, 
59, 71, 11, 
47, 71, 9, 
25, 72, 34, 
20, 73, 5, 
44, 73, 7, 
19, 74, 10, 
57, 75, 5, 
28, 76, 40, 
25, 77, 12, 
48, 77, 36, 
34, 78, 22, 
43, 78, 17, 
44, 78, 20, 
47, 78, 16, 
37, 78, 1, 
34, 78, 1, 
56, 79, 35, 
19, 81, 5, 
50, 85, 26, 
42, 86, 20, 
36, 87, 27, 
40, 87, 13, 
36, 87, 10, 
52, 88, 13, 
58, 88, 15, 
59, 93, 14, 
37, 97, 32, 
46, 98, 15, 
41, 99, 39, 
54, 101, 24, 
41, 103, 17, 
34, 103, 23, 
33, 113, 8, 
47, 120, 16, 
45, 126, 28, 
32, 137, 18, 

# Cluster 1
Centroid: 31.051, 70.521, 78.3332, 
21, 15, 81, 
23, 16, 77, 
22, 17, 76, 
23, 18, 94, 
30, 19, 72, 
35, 19, 99, 
24, 20, 77, 
22, 20, 79, 
35, 23, 98, 
25, 24, 73, 
31, 25, 73, 
29, 28, 82, 
23, 29, 87, 
21, 30, 73, 
18, 33, 92, 
21, 33, 81, 
30, 34, 73, 
20, 37, 75, 
24, 38, 92, 
24, 39, 65, 
39, 69, 91, 
31, 70, 77, 
40, 71, 95, 
38, 71, 75, 
39, 71, 75, 
31, 72, 71, 
29, 73, 88, 
32, 73, 73, 
35, 74, 72, 
32, 75, 93, 
32, 76, 87, 
28, 77, 97, 
32, 77, 74, 
34, 78, 90, 
39, 78, 88, 
38, 78, 76, 
27, 78, 89, 
30, 78, 78, 
30, 78, 73, 
29, 79, 83, 
31, 81, 93, 
36, 85, 75, 
33, 86, 95, 
32, 87, 63, 
28, 87, 75, 
36, 87, 92, 
30, 88, 86, 
27, 88, 69, 
35, 93, 90, 
32, 97, 86, 
29, 98, 88, 
30, 99, 97, 
28, 101, 68, 
36, 103, 85, 
32, 103, 69, 
38, 113, 91, 
35, 120, 79, 
32, 126, 74, 
30, 137, 83, 

